company,group_title,position,workplace,commitment,location,position_url
arcteryx.com,Raw Materials,Raw Materials Data Analyst - Temporary,Hybrid,FT Temp/Seasonal,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/623fecf7-3a8a-4a40-92a0-b39b57aa1bab
arcteryx.com,Raw Materials,Raw Materials General Assistant,On-site,Full-time,"New Westminster, BC",https://jobs.lever.co/arcteryx.com/a01478da-f12c-4cfd-9449-d0c427221c82
arcteryx.com,Raw Materials,Senior Materials Developer - Toolbox,Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/2183c82b-9142-4f1a-8c23-e4ac190aefb5
arcteryx.com,Raw Materials,"Senior Materials Developer, Circularity",Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/67715a24-ea29-4c86-8ef9-d9f795ce57d3
arcteryx.com,Raw Materials,"Senior Raw Materials Developer, Veilance",Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/7828f812-bc7e-4cb1-9434-a7327342e17c
arcteryx.com,Sourcing,"Manager, Sourcing - Sustainability",Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/74d84ad2-1cec-4d8d-b82f-5851be20e52d
arcteryx.com,Sourcing,"Senior Manager, Sourcing Business Process",Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/38d4cb07-a86a-4e71-a3d2-dee903dbd0f7
arcteryx.com,Commerce & Brand,Senior Software Engineer,Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/11ed3466-f82f-4385-83b4-f41585b73fd1
arcteryx.com,Engineering Excellence & Technology,Senior Enterprise Architect,Remote,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/dbea33b7-87b5-4758-9d85-167c9b28169b
arcteryx.com,ERP & Corporate Systems,"Business Systems Analyst, Retail Technology",Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/a128b9a4-fad4-4521-9d12-7715664c25af
arcteryx.com,ERP & Corporate Systems,"Manager, Training and Change – Supply Chain",Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/7040aa14-a8e7-42c2-a87d-672bbc81686e
